acousticness,danceability,energy,instrumentalness,valence,tempo,liveness
2.71E-05,0.239,0.94,0.00408,0.148,0.502256609,0.302
0.555,0.802,0.68,1.75E-06,0.879,0.492729162,0.113
0.135,0.637,0.934,2.27E-05,0.519,0.513406185,0.266
0.38,0.598,0.882,0.000139,0.862,0.552842423,0.444
0.538,0.233,0.316,0.000385,0.169,0.28194672,0.0816
0.0663,0.412,0.511,0,0.505,0.661566197,0.377
4.18E-05,0.708,0.604,0.639,0.632,0.492388309,0.0489
0.327,0.533,0.615,0.000592,0.904,0.709815324,0.218
0.000968,0.606,0.89,3.37E-06,0.945,0.572057477,0.136
0.179,0.763,0.505,0.00107,0.96,0.433794511,0.0497
0.0731,0.724,0.566,0,0.665,0.362231887,0.168
0.765,0.529,0.295,0.0193,0.623,0.646626175,0.268
0.472,0.369,0.326,9.97E-06,0.763,0.856053419,0.15
0.0507,0.363,0.186,0.571,0.0754,0.36212922,0.25
0.0904,0.374,0.85,0,0.348,0.516601165,0.116
0.00224,0.804,0.842,1.33E-05,0.426,0.479012924,0.27
0.298,0.632,0.453,1.76E-06,0.86,0.63632257,0.101
0.443,0.441,0.387,0,0.554,0.312882176,0.268
0.114,0.6,0.551,0,0.776,0.340544625,0.217
0.22,0.686,0.58,7.39E-05,0.6,0.378268387,0.0536
0.902,0.26,0.32,0.0254,0.126,0.326454681,0.133
0.86,0.0823,0.0507,0.918,0.0575,0.699782758,0.1
0.0271,0.8,0.48,0,0.647,0.380013716,0.061
0.876,0.537,0.37,0.00839,0.709,0.752951661,0.0706
0.966,0.359,0.106,0.871,0.158,0.359316159,0.0985
0.00495,0.605,0.857,0.254,0.554,0.480840387,0.111
0.008,0.559,0.83,4.50E-06,0.622,0.388029913,0.0675
0.293,0.708,0.517,1.03E-06,0.816,0.582188602,0.465
0.0658,0.507,0.988,0.006,0.482,0.413733486,0.333
0.88,0.498,0.276,0.00327,0.145,0.339164788,0.699
0.00445,0.286,0.837,0.0859,0.315,0.438225595,0.116
0.473,0.56,0.239,1.37E-05,0.601,0.828197957,0.0565
0.419,0.637,0.626,0,0.485,0.698004575,0.0543
0.0183,0.734,0.73,3.46E-05,0.834,0.805566164,0.107
0.0156,0.813,0.531,0.526,0.604,0.525097841,0.0749
0.811,0.547,0.445,0.000154,0.541,0.31580201,0.137
0.0214,0.66,0.669,0.0117,0.798,0.49686046,0.27
0.00265,0.528,0.965,0.00118,0.902,0.584434944,0.14
0.925,0.522,0.0287,0.611,0.152,0.455896545,0.136
0.271,0.672,0.726,2.54E-06,0.939,0.446578538,0.107
0.315,0.417,0.461,0.000183,0.233,0.597013638,0.183
0.349,0.465,0.371,5.44E-05,0.302,0.314771239,0.0644
0.00887,0.783,0.848,0,0.793,0.439223513,0.169
0.723,0.616,0.382,2.19E-05,0.886,0.649767768,0.152
0.177,0.549,0.574,2.62E-05,0.411,0.61548128,0.0635
0.462,0.669,0.802,6.37E-06,0.506,0.48560411,0.281
0.283,0.711,0.365,0,0.547,0.473859068,0.342
0.995,0.585,0.0465,0.965,0.412,0.540871515,0.0698
0.97,0.465,0.0839,0,0.46,0.25475243,0.138
0.00204,0.295,0.994,0.0166,0.0678,0.393914754,0.143
0.0854,0.443,0.192,0,0.113,0.576829414,0.162
2.28E-05,0.148,0.881,0.948,0.51,0.664173925,0.0755
0.00444,0.54,0.71,0.893,0.481,0.493197321,0.107
0.528,0.823,0.402,0,0.495,0.512055095,0.0807
3.26E-05,0.272,0.979,0,0.872,0.625674005,0.264
0.369,0.63,0.596,0.000178,0.958,0.709359485,0.126
0.205,0.466,0.487,1.17E-06,0.795,0.83002542,0.27
0.00361,0.495,0.853,0,0.703,0.533019585,0.101
0.965,0.132,0.17,0.872,0.102,0.317415926,0.0917
0.901,0.303,0.303,0,0.288,0.580570579,0.232
0.834,0.474,0.655,0,0.741,0.48389574,0.236
0.289,0.623,0.586,0,0.546,0.438927834,0.307
0.16,0.347,0.587,0.00105,0.522,0.468869478,0.329
0.395,0.869,0.531,0.000824,0.949,0.385167572,0.05
0.000509,0.295,0.933,0.706,0.372,0.529931378,0.266
0.0493,0.542,0.401,0.00254,0.764,0.519779719,0.109
0.0676,0.498,0.952,0.166,0.928,0.37823964,0.0706
0.779,0.56,0.356,4.57E-06,0.769,0.534641715,0.101
0.877,0.0744,0.0836,0.93,0.0394,0.328963849,0.11
0.746,0.508,0.305,0,0.577,0.356724858,0.0871
0.696,0.777,0.521,0.000746,0.638,0.593149273,0.201
0.00129,0.339,0.863,0.024,0.271,0.42167987,0.145
0.218,0.668,0.874,0.43,0.91,0.462910717,0.106
0.0538,0.418,0.576,4.14E-06,0.489,0.680596451,0.111
0.29,0.384,0.455,0.00241,0.481,0.738389451,0.116
0.123,0.733,0.872,0.256,0.806,0.475555118,0.322
0.272,0.726,0.707,0.000286,0.962,0.497517525,0.0421
0.539,0.444,0.335,0,0.275,0.587621711,0.117
0.826,0.519,0.642,0,0.401,0.449391599,0.946
0.000585,0.489,0.88,0.000142,0.425,0.328241077,0.404
0.224,0.417,0.681,1.24E-05,0.257,0.764815796,0.128
0.648,0.209,0.237,0.22,0.123,0.562776429,0.11
0.0551,0.529,0.747,0.275,0.189,0.555446045,0.116
0.228,0.408,0.507,2.36E-06,0.109,0.333407253,0.955
0.0221,0.122,0.866,0.728,0.24,0.706792823,0.388
0.171,0.537,0.557,0,0.444,0.489624528,0.0584
0.0156,0.499,0.892,0.00165,0.228,0.487866879,0.973
0.00377,0.624,0.751,1.00E-05,0.708,0.395105685,0.0329
0.795,0.171,0.00372,0.96,0.0663,0.479879429,0.0879
0.4,0.785,0.481,0,0.968,0.548785045,0.332
0.00532,0.445,0.99,0.0107,0.352,0.492593642,0.328
0.864,0.14,0.158,0.526,0.0998,0.27553212,0.0632
0.374,0.686,0.794,0,0.748,0.369398005,0.0583
0.385,0.597,0.72,0.00026,0.598,0.507788277,0.0879
0.397,0.706,0.695,0,0.814,0.407791152,0.201
0.622,0.483,0.403,0,0.362,0.304771526,0.0885
0.944,0.573,0.295,0.000354,0.392,0.373755169,0.237
0.0608,0.501,0.932,2.25E-06,0.347,0.45203218,0.703
0.705,0.473,0.179,0.0105,0.583,0.467337695,0.318
0.0822,0.684,0.661,0,0.653,0.45682465,0.217
0.857,0.272,0.275,2.43E-06,0.444,0.304500487,0.0921
0.893,0.0821,0.166,0.751,0.0756,0.319617095,0.189
0.106,0.574,0.521,1.43E-05,0.381,0.568472364,0.152
0.612,0.469,0.216,0.000225,0.543,0.363488524,0.331
0.786,0.711,0.262,8.22E-05,0.647,0.532571959,0.122
0.000722,0.414,0.827,2.88E-05,0.508,0.390506228,0.056
0.662,0.661,0.485,0,0.898,0.428004123,0.384
0.034,0.679,0.94,0,0.283,0.432086141,0.0494
0.712,0.205,0.316,0.000191,0.154,0.320003121,0.988
0.371,0.496,0.423,0.00147,0.391,0.554193514,0.0606
0.0295,0.477,0.652,0.0149,0.816,0.595449001,0.053
0.996,0.329,0.0238,0.925,0.28,0.537894188,0.0758
0.322,0.708,0.467,0,0.963,0.331686563,0.0685
0.502,0.339,0.619,0.34,0.656,0.632503378,0.715
0.00345,0.508,0.903,0.008,0.504,0.547282008,0.0838
0.279,0.159,0.914,0.479,0.0833,0.661369078,0.116
2.47E-06,0.326,0.883,0.67,0.224,0.503550206,0.172
0.763,0.495,0.368,2.30E-05,0.26,0.562300057,0.371
0.0131,0.435,0.612,0.000449,0.296,0.36226474,0.262
0.803,0.136,0.0776,0.941,0.0393,0.586697713,0.108
0.275,0.547,0.519,0.00402,0.552,0.311383246,0.0837
0.922,0.435,0.0101,0.00291,0.211,0.313140895,0.107
0.939,0.536,0.23,0.929,0.125,0.300574521,0.0968
