danceability,energy,valence,tempo
0.508,0.903,0.504,0.547282008
0.159,0.914,0.0833,0.661369078
0.326,0.883,0.224,0.503550206
0.495,0.368,0.26,0.562300057
0.435,0.612,0.296,0.36226474
0.136,0.0776,0.0393,0.586697713
0.547,0.519,0.552,0.311383246
0.435,0.0101,0.211,0.313140895
0.536,0.23,0.125,0.300574521
0.544,0.371,0.534,0.770540477
0.752,0.778,0.543,0.444857848
0.757,0.462,0.58,0.379069185
0.157,0.0214,0.0353,0.414094872
0.34,0.988,0.66,0.632318578
0.572,0.838,0.575,0.513492425
0.543,0.411,0.874,0.66843253
0.81,0.93,0.969,0.465423992
0.329,0.0603,0.241,0.60918988
0.301,0.105,0.264,0.420989951
0.978,0.837,0.966,0.493291774
0.66,0.462,0.57,0.380128703
0.776,0.69,0.694,0.472425844
0.649,0.537,0.492,0.422304082
0.541,0.882,0.701,0.495998062
0.454,0.725,0.336,0.613830403
0.607,0.784,0.643,0.459415951
0.428,0.682,0.122,0.535031847
0.591,0.81,0.814,0.429749453
0.34,0.883,0.679,0.770047678
0.354,0.0161,0.424,0.352651053
0.526,0.441,0.693,0.384995093
0.599,0.715,0.947,0.675216729
0.617,0.691,0.326,0.471961792
0.399,0.989,0.363,0.621727507
0.442,0.372,0.856,0.739678941
0.43,0.532,0.102,0.728800404
0.471,0.231,0.306,0.28361813
0.533,0.375,0.397,0.495940568
0.789,0.536,0.743,0.470631234
0.0953,0.0231,0.0752,0.734902898
0.634,0.59,0.428,0.430899317
0.623,0.301,0.554,0.383097816
0.713,0.683,0.775,0.379471637
0.184,0.0273,0.0577,0.354589396
0.867,0.907,0.693,0.451030155
0.747,0.107,0.529,0.512732694
0.791,0.322,0.953,0.551294213
0.711,0.94,0.863,0.373438957
0.587,0.147,0.252,0.33795743
0.26,0.032,0.0859,0.339029268
0.367,0.352,0.382,0.740709713
0.702,0.689,0.964,0.393536941
0.71,0.529,0.882,0.386021757
0.368,0.98,0.944,0.628782745
0.506,0.967,0.605,0.492577215
0.489,0.338,0.584,0.313075189
0.647,0.579,0.639,0.691725495
0.165,0.232,0.148,0.303477929
0.849,0.521,0.905,0.433507045
0.33,0.34,0.475,0.33310336
0.549,0.254,0.67,0.450356663
0.519,0.297,0.502,0.446167872
0.458,0.367,0.196,0.549425684
0.549,0.508,0.259,0.484741712
0.307,0.966,0.216,0.550464668
0.445,0.144,0.729,0.383578295
0.734,0.693,0.708,0.365796466
0.191,0.307,0.0615,0.261926762
0.489,0.669,0.713,0.615703039
0.488,0.44,0.645,0.386247623
0.727,0.842,0.863,0.558772438
0.714,0.41,0.859,0.484782778
0.692,0.754,0.653,0.47933735
0.277,0.839,0.556,0.625743818
0.156,0.106,0.0346,0.440315884
0.738,0.564,0.933,0.447223283
0.775,0.688,0.852,0.503316126
0.632,0.285,0.618,0.503677512
0.527,0.944,0.6,0.514399997
0.669,0.515,0.886,0.423187013
0.406,0.529,0.876,0.691179309
0.461,0.933,0.565,0.577482372
0.218,0.958,0.356,0.308052746
0.843,0.519,0.954,0.498601683
0.484,0.979,0.683,0.457469395
0.678,0.722,0.764,0.443186438
0.683,0.433,0.422,0.462048319
0.794,0.622,0.901,0.514584796
0.462,0.458,0.616,0.451305301
0.746,0.503,0.896,0.361439302
0.762,0.267,0.919,0.665890508
0.531,0.573,0.349,0.575067657
0.526,0.791,0.392,0.513221386
0.588,0.232,0.339,0.495377956
0.447,0.856,0.173,0.699162652
0.506,0.636,0.401,0.564969385
0.685,0.287,0.268,0.491558764
0.817,0.433,0.686,0.568414871
0.22,0.986,0.753,0.845868907
0.892,0.57,0.872,0.395274058
0.897,0.296,0.517,0.405528383
0.421,0.0867,0.379,0.393717634
