id,acousticness,danceability,energy,duration_ms,instrumentalness,valence,tempo,liveness,loudness,speechiness,key
23AaYEj5iOKOIzfnzbA6Nu,0.229,0.747,0.708,0.04957902,0,0.635,0.45940363,0.136,0.84837523,0.0297,0.81818182
24pfUpoUsOo4XyPaHgPDBu,0.646,0.439,0.32,0.053449,0.873,0.601,0.44676334,0.647,0.50367238,0.0675,0.09090909
28csnSz7AHcGYYxufDVL7G,0.988,0.577,0.147,0.03150919,0,0.621,0.40048951,0.404,0.68303187,0.121,0.09090909
2AWOgskypXnjLItNjzE6l5,0.996,0.551,0.197,0.03193669,0.000211,0.847,0.52519229,0.155,0.73442957,0.0453,0.18181818
2HH1UNGftpz0IMfHqfJaSD,0.959,0.478,0.386,0.03834165,0.00182,0.929,0.41043584,0.132,0.73953488,0.0445,0.54545455
2Jd26bWgOlF9hVWTYhKlGM,0.932,0.382,0.492,0.04246156,0.0137,0.64,0.36354191,0.157,0.80931799,0.0345,0.09090909
2MZtBkCQLoEfpWl8dXuNfE,0.99,0.509,0.306,0.03692416,0,0.7,0.52168931,0.372,0.69781536,0.166,0.63636364
2PCiNuXDp5StM7fEmSLhPq,0.761,0.0735,0.0888,0.05185525,0.97,0.0224,0.32946075,0.105,0.50259181,0.0446,0.45454545
2SQPbZQWoI1EVWh0YN3zXO,0.71,0.326,0.401,0.04032464,0,0.201,0.61208918,0.0903,0.74946363,0.0467,0.63636364
2XVujD5mP2bMSXLkpqeWKU,0.995,0.287,0.621,0.03970908,0.784,0.559,0.31841795,0.151,0.76982225,0.0394,0.27272727
2YhYGZJExSEpVb42iP8QYy,0.855,0.69,0.419,0.03753784,0,0.815,0.41071099,0.163,0.71346018,0.0322,0.45454545
2ZZ4rkQvNDkQt86sdwd398,0.932,0.382,0.492,0.04246156,0.0137,0.64,0.36354191,0.157,0.80931799,0.0345,0.09090909
2cCJbwvd4EHPa7rNvoVCvL,0.0124,0.761,0.56,0.02306443,0.000142,0.33,0.47235192,0.0835,0.76723827,0.0788,0.45454545
2e9fGpMVXdp8vj5YpSxd0B,0.0123,0.526,0.933,0.05235494,0.455,0.335,0.51357456,0.11,0.84793673,0.236,0
2gUkW0vlRnpcX57aESZWHQ,0.117,0.842,0.382,0.04173031,0,0.493,0.56663669,0.0882,0.76864772,0.509,0.27272727
2gzzgyvxUNjF1Q6B2zjjef,0.434,0.685,0.458,0.04486511,1.45E-06,0.456,0.61594533,0.304,0.80020359,0.26,0.81818182
2ijTs6mInatQG5cbElWaP3,0.996,0.433,0.322,0.02695915,0.983,0.763,0.54830046,0.216,0.6878553,0.0414,0.81818182
2jLH2nQ5GtKFcPaKkIPdPs,0.000181,0.739,0.738,0.06191944,0.89,0.236,0.52566867,0.125,0.82284864,0.101,0.09090909
2lPgRiJE3LXsi9ABxNNVnV,0.983,0.212,0.0148,0.08373007,0.727,0.0399,0.3151203,0.699,0.41990447,0.0434,0.18181818
2lTl3eUKAGNFq5crR0a9Bk,0.00676,0.79,0.438,0.03236062,0.000177,0.382,0.67771768,0.182,0.81841673,0.205,0.09090909
2oRDv2SU6nuFQKYWEoyTUY,0.994,0.446,0.103,0.03340405,0.000419,0.373,0.49960371,0.432,0.69094041,0.0509,0.09090909
2tvg1EATUx6VKS5ybpvhRa,0.995,0.427,0.147,0.0358616,0,0.552,0.35492614,0.399,0.65655,0.0768,0.45454545
2tx8aZ0Ow7wBMBZJO2EFk8,0.985,0.185,0.151,0.03337161,0.798,0.135,0.36526671,0.151,0.66052776,0.0391,0.63636364
2yNQVRy7nlVepnqxgerxH2,0.0462,0.804,0.662,0.04684228,0.0516,0.337,0.53387788,0.105,0.81490878,0.0816,0.09090909
2yz9R2XjQ7v5uj8N4bzrz3,0.00508,0.487,0.709,0.05677691,0.863,0.392,0.5259356,0.0634,0.80057944,0.194,0.09090909
2zDLChc7oaaMRCWXL6GGtB,0.253,0.604,0.782,0.02713859,0.914,0.848,0.38200955,0.102,0.81655313,0.0514,0.72727273
344JRi2uvqmVOs2S1kF7Lm,0.0313,0.801,0.23,0.04459905,6.07E-06,0.666,0.75587971,0.0601,0.61273197,0.2,0
34quhtd2AfsCt4NUxC5WwU,0.995,0.548,0.242,0.0297992,0.00333,0.712,0.58865248,0.443,0.74916608,0.0647,0.27272727
35Isk2sBRwDbvg1YEshvOv,0.996,0.672,0.212,0.03344905,0.0307,0.566,0.49259364,0.271,0.73474278,0.053,0.18181818
36j2K8rWBwWgeJW5asvd33,0.985,0.625,0.459,0.03832665,0.0562,0.72,0.48045025,0.0807,0.76609506,0.0918,0.90909091
3AGInDslPPFCzYs046aVxc,0.994,0.227,0.261,0.03262406,0.247,0.0539,0.48824469,0.0977,0.74633153,0.0382,0.45454545
3CP9yypwi3WTRdn6RsSko4,0.99,0.456,0.365,0.03872902,1.28E-05,0.965,0.34651981,0.299,0.76322919,0.0449,0.63636364
3FRmOYlvAx6TrF4jOHNY0H,0.916,0.508,0.498,0.04794159,0.879,0.549,0.51516384,0.118,0.78574896,0.0431,0.18181818
3HG4p2D55sv5hm46uhuxY7,0.996,0.37,0.19,0.02822421,0.966,0.33,0.34488947,0.128,0.68401848,0.0825,0.72727273
3MJWdB4JqU5Q45BU42G5SL,0.895,0.474,0.444,0.04169656,0,0.92,0.32983446,0.166,0.78642236,0.0378,0.54545455
3NUN6erafFldcaCeyNYs0T,0.0399,0.447,0.521,0.02115906,0,0.105,0.36546383,0.186,0.80900478,0.32,0.09090909
3OcHYYvV8PaBUGXxRae4DD,0.00139,0.932,0.318,0.06717898,0.000237,0.659,0.39839101,0.0542,0.68675906,0.0699,0.36363636
3T0BbvsltD3A4ic1JVACF7,0.000166,0.703,0.67,0.01968476,0,0.451,0.35945168,0.125,0.82549526,0.168,0.72727273
3XuZLV6ez0DPIUu1oV1WKp,0.961,0.713,0.536,0.03047419,0.351,0.937,0.26604163,0.207,0.71560567,0.177,0.54545455
3YKOfuDR93zR78bfaFX6ad,0.685,0.799,0.299,0.02909383,1.47E-05,0.176,0.40639489,0.118,0.74796022,0.0704,0.90909091
3Ybhcxyi3wjsoDqpB1Jrc1,0.984,0.383,0.185,0.03146156,0,0.421,0.36338996,0.0845,0.72880745,0.0563,0.63636364
3ZwEEZEXjCsADlRnqnsHBq,0.941,0.586,0.284,0.03728153,0.0721,0.847,0.50096301,0.0604,0.76020672,0.0371,0.81818182
3ajZwXiT7qpanVm5DcvcQF,0.887,0.653,0.291,0.01898932,0.000236,0.37,0.492261,0.105,0.68596038,0.0648,0.09090909
